year,experiment,burntFractionAll,mrsos,tas,tas_smooth,mrsos_smooth,burntFractionAll_smooth
2054,ssp126,,27.004034979209557,16.03188251643138,15.952161649914427,27.980655074817527,
2055,ssp126,,28.224389024324285,16.21136238762199,15.948853064484064,28.132805387825567,
2056,ssp126,,27.7846674088144,16.125115577335634,15.96863706934335,28.01462206022657,
2057,ssp126,,28.04120735749057,15.825537147013108,16.054554917868085,27.86559296607241,
2058,ssp126,,28.75287495544177,16.13677920450357,16.04518094199118,27.948251224233736,
2059,ssp126,,28.50495320257911,15.819249029603384,16.062653959544186,27.91198634911131,
2060,ssp126,,27.26631746276125,15.966263551897896,16.184851377437894,27.831566197501708,
2061,ssp126,,27.499883694437543,16.39977153236873,16.17678807056284,27.643531234051828,
2062,ssp126,,28.23927129960868,15.648914245859032,16.13810739423842,27.578977674470718,
2063,ssp126,,27.80226410644596,16.461664402807116,16.166869660786556,27.61650881714389,
2064,ssp126,,26.19983346311347,17.253856695368484,16.161653604594125,27.539876752773797,
2065,ssp126,,26.34403938982555,16.13072931887143,16.163187535969303,27.380731503503675,
2066,ssp126,,27.139131813003264,15.738308814091454,16.27492873840483,27.238579059151675,
2067,ssp126,,28.416518784222315,16.113159812494473,16.170105217772527,27.29655280705331,
2068,ssp126,,27.98655431174081,16.084618642579244,16.159289239650104,27.270980135901493,
2069,ssp126,,26.913500709877923,15.834588343355165,16.131008971262297,27.219883018371668,
2070,ssp126,,25.84479301924126,17.0836755762532,16.01206784844597,27.376495260430545,
2071,ssp126,,28.079621173453816,15.351536326045675,16.031459487395313,27.533823331324548,
2072,ssp126,,27.9835445880906,15.5407544646348,16.04510389533244,27.56673781626798,
2073,ssp126,,27.29129293114765,16.178861718929056,16.078944015300227,27.485056356226256,
2074,ssp126,,27.765955883702265,16.06444546720519,16.068987122262747,27.500936228728676,
2075,ssp126,,27.917320098765604,16.32464570836487,16.058137358537824,27.61906972210853,
2076,ssp126,,27.468276662437543,15.874752893462698,15.90547054925778,27.845584781355853,
2077,ssp126,,27.59970418380508,16.451561012172363,15.888098326197905,27.92979312921117,
2078,ssp126,,28.145353036765005,15.985049712204445,15.859847828298076,28.049693720972744,
2079,ssp126,,28.09483564367652,15.726090706105936,15.79561688535772,28.100627133275044,
2080,ssp126,,28.10994361171443,15.557007483452765,15.839955010805733,28.00248816679249,
2081,ssp126,,28.921704652006984,15.177814095446934,15.81857592047594,27.963477059469945,
2082,ssp126,,29.182550505706374,15.258249485636496,15.846480519747349,28.086592224828905,
2083,ssp126,,27.80062705417061,15.536552289525504,15.790514454015375,28.12356778187271,
2084,ssp126,,26.784566218876726,16.50782672168532,15.786696307045009,28.117610880325266,
2085,ssp126,,27.527209025540124,16.110854805066936,15.826933542677091,28.03535143019426,
2086,ssp126,,28.6994283160272,16.153798886176787,15.875011593584077,28.062675218796482,
2087,ssp126,,27.96945975424312,15.891900354852623,15.96783173657344,27.9716041638592,
2088,ssp126,,28.085784021290586,15.946868242500784,16.065186527289125,27.73951182237665,
2089,ssp126,,27.272241142366447,16.12846306242676,16.079384114643023,27.78570603665697,
2090,ssp126,,28.383181497736665,16.037787992522624,15.928159890517616,27.991355022863154,
2091,ssp126,,28.01099410263413,16.10601552534058,15.92418061576459,27.97386383707839,
2092,ssp126,,26.861627090880894,16.23179739279334,15.970444863876173,27.659227337277276,
2093,ssp126,,28.262569196973764,15.67852816306447,15.89908629751705,27.67175469285843,
2094,ssp126,,28.84105608093864,14.995584480431262,15.942828402222881,27.68345479044018,
2095,ssp126,,27.352297167692463,16.071062057536665,15.964112593274558,27.69956514186483,
2096,ssp126,,25.55306331801601,16.616441367292623,16.054880023004387,27.593995277718335,
2097,ssp126,,28.09473331005469,15.178314691261392,16.049198300522587,27.547662074949912,
2098,ssp126,,28.20278499710813,16.384289289559092,16.026373413988743,27.63341644795854,
2099,ssp126,,27.433344656612935,16.341304972943533,16.07606559269221,27.54353748381351,
2100,ssp126,,27.327482856271697,16.94546228982091,16.256145778069037,27.327284384292653,
2015,ssp585,0.0403213536487417,28.86844193480091,14.071077130063316,14.528455448822877,27.940388564730654,0.07383447721109414
2016,ssp585,0.1174910327621624,27.187677251400427,14.921251056056237,14.508766457687017,28.044471653915892,0.07397230575997465
2017,ssp585,0.0871736051183817,27.556633094957395,14.807758296252416,14.59313574388366,28.095421515435756,0.07666039674285798
2018,ssp585,0.051723931034662,28.286697272370148,14.420673937365793,14.537285237294142,28.164490018372945,0.07374682617951628
2019,ssp585,0.0724624634915229,27.802493270124376,14.421516824376624,14.596460742566206,28.187058973043694,0.07389521578482934
2020,ssp585,0.0746614485043772,28.564887099842096,14.41032150200772,14.591193039353328,28.343769014277747,0.06973077513813843
2021,ssp585,0.092788942640158,28.40112068455494,15.09935146106352,14.72742962393969,28.30162934380695,0.0742852076636466
2022,ssp585,0.0533518322361243,28.647969538933257,14.146331691167518,14.751196867539926,28.45349009041048,0.06967190055329338
2023,ssp585,0.0750823326273339,28.3676106104097,15.06986478474272,14.814431495456057,28.49711236062613,0.07091643908164295
2024,ssp585,0.0322508093179201,29.754159385384224,14.543783710437424,14.861660963080624,28.543526571799823,0.07060340856841976
2025,ssp585,0.0858656789038235,28.44704523009296,15.433442975926935,14.949829903691318,28.66089101579709,0.06923061590710733
2026,ssp585,0.0713579616586302,28.70628471743568,15.158923492058593,15.05267431367567,28.515134173537,0.07385896945091709
2027,ssp585,0.0996189904018775,27.99285579711392,15.440104575413727,15.051326922156857,28.406383612929705,0.07547825821583987
2028,ssp585,0.0485936259024301,28.750839384107085,14.892968613611458,15.18934883657268,28.366324948464513,0.07601978569408076
2029,ssp585,0.0587345368783985,28.97613771009706,15.303206230483568,15.264561144787411,28.11491352310707,0.08322451379584614
2030,ssp585,0.1209449839424748,27.107318677241203,15.43876560185123,15.358323556321618,27.968916357956324,0.08699009750037073
2031,ssp585,0.1089818302893857,27.313615078482005,15.085877545875404,15.420689838463511,27.966898281004433,0.0859521979766327
2032,ssp585,0.0587671070185333,28.247382894281312,15.526550835325736,15.558604797059127,27.82221878406345,0.09157899054430516
2033,ssp585,0.1471296136449878,25.853496356835265,15.821987866890026,15.616970421015168,27.737635979282732,0.09232650642894548
2034,ssp585,0.069906646363166,28.294187733876782,15.481407825779511,15.599922330198263,27.81322463914223,0.09056254829884224
2035,ssp585,0.075486683666443,28.426864460574023,16.057105797345855,15.695104407485815,27.670128916499444,0.09425039268511885
2036,ssp585,0.1276258873353548,27.25948974802582,16.538073078014747,15.670387876543913,27.793051731996485,0.09014240187585063
2037,ssp585,0.1070941492482807,27.147027749306744,16.02376081497414,15.781934906904377,27.941829109855707,0.08369185127023451
2038,ssp585,0.0309540446013978,29.506725982702104,14.722487705442404,15.879968346622025,27.88615065217116,0.08581437736762385
2039,ssp585,0.0956129807411646,27.54518048366919,16.25502700335909,15.951895851945,28.074703495926123,0.08133437521692435
2040,ssp585,0.0798650758497926,28.33654683221162,15.191600292432213,16.019896909914337,28.04359825896706,0.08107477726554509
2041,ssp585,0.0444763242332245,28.8013888570742,16.201347849480044,16.099234953292086,27.9855046172407,0.07950857996477681
2042,ssp585,0.0799923679924267,27.69059831743587,16.506885232502214,16.08797749011621,28.102636039376865,0.07180574679389701
2043,ssp585,0.1023295921379927,27.739024794384864,16.541262920119777,16.05192930205903,28.129020365472577,0.07353817296221118
2044,ssp585,0.0673106668493734,27.98313536428611,16.161418405472887,16.294376380778953,27.837132005964474,0.08519683112774862
2045,ssp585,0.0598247106587604,27.84592804331052,16.85048623112334,16.375871194307415,27.799568100133676,0.08793447576587135
2046,ssp585,0.0505975556265566,28.43080396938741,16.425498446255972,16.538601953110533,27.801999037774333,0.08781283801245697
2047,ssp585,0.1244184109314225,27.41087101026389,15.663278934402342,16.647610576355056,27.66772711453425,0.09393687287213555
2048,ssp585,0.1475406262567721,26.58784238762106,17.14695849264166,16.63452349172912,27.722398338892965,0.09279055738073935
2049,ssp585,0.122989427122392,27.16954142536124,17.069975138643713,16.700744478820475,27.654781043038913,0.09091371544852303
2050,ssp585,0.0786486983156488,28.360856208618195,16.81890788046337,16.76553022115157,27.632651502774515,0.09439452952062816
2051,ssp585,0.1057166728300102,27.45866962467335,17.291434081925274,16.785318542152243,27.708321362545576,0.0949328600185049
2052,ssp585,0.0685292130784647,28.237310561023016,16.376014386242844,16.789281060500606,27.699648785216134,0.09771865344494067
2053,ssp585,0.0835611728158295,27.06285183584435,17.203472791033334,17.006834189228385,27.631691217825637,0.10166862903163891
2054,ssp585,0.1021188075704247,27.761839961642085,16.809275828783882,17.016162130998502,27.75834170342002,0.0944335446200952
2055,ssp585,0.0652080156375279,28.602626641021157,17.048369441130035,17.008300266058207,27.798034875833803,0.09346221855532941
2056,ssp585,0.0784554898909143,28.34407819609298,16.465123629739594,17.059817450502273,27.72935783145605,0.09888964507635722
2057,ssp585,0.1639181667984049,26.73129533635893,17.83881022168015,17.078010283261392,27.604795148143115,0.09830793143299178
2058,ssp585,0.0751897821413351,27.85434724356489,17.24023791034284,17.182004928218145,27.45465486394297,0.10277186329880365
2059,ssp585,0.113276166474734,27.566473149499085,16.99135648924073,17.213426252301172,27.507701803296186,0.1046618177357197
2060,ssp585,0.132922963525927,27.67408576484062,17.33407972490403,17.21631607842777,27.543385765730044,0.10556568449169093
2061,ssp585,0.0998995363963557,26.213042791544066,17.473362409516483,17.31389947268396,27.44407277285424,0.10953694328276904
2062,ssp585,0.1131685317365834,26.73590771902154,17.41596083581038,17.478846241130185,27.306414929818096,0.11452081368387454
2063,ssp585,0.1024607171849898,27.59332122937652,17.517686031863605,17.507547518988,27.305600883366303,0.11349090810109468
2064,ssp585,0.1111574751301372,28.11867958598064,16.838174090049847,17.62611236067774,27.259595987216237,0.11541646186399226
2065,ssp585,0.1049206035483091,27.609496712263127,18.02420338369194,17.651913635636525,27.30284324659947,0.11300830481068828
2066,ssp585,0.1282941939019691,26.9674997657315,18.11459131420185,17.74386547674065,27.2418707621896,0.112221034859038
2067,ssp585,0.1536191109706065,26.723154871841047,18.12582300025832,17.835162074260968,27.37710502184923,0.11290171530674246
2068,ssp585,0.0944453197703108,27.394298282064234,18.42588632724022,17.863926857959495,27.505237874187866,0.11063673545341872
2069,ssp585,0.0891945959416944,27.9989457433314,17.249369238828592,17.98553733670922,27.520728963978957,0.10830498057313039
2070,ssp585,0.1250502640094242,27.064360920741887,18.253598135945253,18.096883807228817,27.517865949023296,0.10572027690134059
2071,ssp585,0.1067063408734003,27.56538538814037,18.38632838471966,18.062999445921243,27.555912590722947,0.1055588357418358
2072,ssp585,0.0905187332033459,28.017236242407943,17.703608672795667,18.080070810316773,27.692152644726082,0.1026532540952723
2073,ssp585,0.0791431683821063,27.748232127287388,18.73379081936088,18.15949764172844,27.702491080863847,0.10391197321904391
2074,ssp585,0.0853104384122391,28.090049436424096,17.9516387952458,18.206851080876685,27.755783957306825,0.1070603815743381
2075,ssp585,0.1033061919532613,27.989963129259603,17.685359770616174,18.349509822956207,27.7052498183239,0.10845240793428097
2076,ssp585,0.0992383774363341,28.329900305762862,18.285304958157155,18.446447382629657,27.697239548854764,0.11183663505915231
2077,ssp585,0.1662063022083227,26.8265392332187,18.920091314374982,18.476214364134375,27.725092093027882,0.1105501573941313
2078,ssp585,0.1259294033232528,27.927227046494,18.89942071872269,18.547958281039847,27.680028402793983,0.11253107945453415
2079,ssp585,0.1031148595411231,27.49360435350214,18.675956659623807,18.624480140322355,27.623003881949238,0.11833580982941398
2080,ssp585,0.1588925352581375,26.98425822605055,19.222973732679748,18.784978697727922,27.501168716926674,0.12335047138286766
2081,ssp585,0.0938415642231902,27.843910829871525,18.683998199766847,18.959731845007845,27.466872987279338,0.1270431667139948
2082,ssp585,0.1103279538073745,27.566599340068976,18.421047841850395,19.05604017755507,27.421473562315292,0.12779959669962385
2083,ssp585,0.1371904721309046,27.17798691883993,19.49900941218596,19.046347380571916,27.543800878581443,0.12035927636361277
2084,ssp585,0.1354570539467758,26.871697786198418,19.55662436930146,19.081270302633847,27.519912356992005,0.11849438469481569
2085,ssp585,0.1402331452645325,27.647005832786288,19.432891243415384,19.187000231785884,27.49463694326338,0.11879071992735504
2086,ssp585,0.1068026772926248,27.875906056122417,19.248388283629424,19.185290456931266,27.529384806599115,0.11820149477787918
2087,ssp585,0.0918030988482118,28.04981239588017,18.823163344543445,19.32873412308958,27.43748680052076,0.12189530547111638
2088,ssp585,0.1072804866352818,27.68834183059968,19.248649939341988,19.465491802030062,27.476116639377516,0.11989175070999555
2089,ssp585,0.1060782118665167,27.24085021621581,19.7332559511442,19.487685583796548,27.377585732094822,0.1248427170842602
2090,ssp585,0.1530002837633791,27.33173685940792,19.20587598413357,19.47965414940869,27.37478002584591,0.12434327443566069
2091,ssp585,0.1307796711555623,26.924930769087947,20.118434861349957,19.491660300106798,27.355731828843005,0.12305853984957468
2092,ssp585,0.0902924061961663,27.95289772863658,19.78862463125523,19.60794369674892,27.17583253933723,0.12992425503266708
2093,ssp585,0.1867001358735508,26.19267784601297,19.72094722985082,19.789425110468688,26.996430346235094,0.1348295626755647
2094,ssp585,0.1304626274607809,26.84364072370932,19.47631002542289,19.89558758558677,27.03908493324309,0.13270824957267402
2095,ssp585,0.1273857994036724,27.45652386275723,19.552952750396457,20.013724363516538,26.941019344547716,0.138628881103137
2096,ssp585,0.1754598291235488,26.07691316106465,20.411222250050628,20.280276079761688,26.76833317080504,0.1479625748916657
2097,ssp585,0.1408561752771878,26.255790464858823,20.63797748174113,20.298258437362993,26.750933437662493,0.14987178641789942
2098,ssp585,0.0860673556063751,28.11488770067965,20.310274690522817,20.361962663126462,26.60068790129073,0.15731920894561605
2099,ssp585,0.1652845271711467,26.260194329262053,20.91462373044186,20.453536296451553,26.658975052044696,0.15312193367019677
2100,ssp585,0.2463372216486658,25.60487512198116,21.87139314658509,20.616407341623,26.628197440100593,0.15689848470509943
